lessonid,moduleid,conceptid,title,content
3,0,0,Purpose: A Bible Overview,Learn the about the key themes of the Bible and their insight into the purpose of life
3,1,0,The Purpose of Life,Reflect on your perspective of life and its purposes
3,2,0,Bible Part 1: The Old Testament,
3,3,0,Bible Part 2: The New Testament,
3,4,0,Achieving Purpose,Evaluate your perspective of life's purpose compared to the Bible
3,1,1,??? What is most important to you in life?,"?? Happiness 
?? Relationships 
?? Success 
?? Wealth, Prosperity, Possessions
?? Health"
3,1,2,??? How do you achieve it?,"Now that you have thought about what is most important to you in life, how do you make steps in life to achieve that deeper purpose in life?"
3,1,3,?? Why haven't you reached your goal in life?,How successful are you in reaching your purpose(s) in life? To what extent have you failed to achieve your purpose in life? What is the cause of your failure?
3,1,4,???? The purpose of life in the Bible,"We have so far thought through what you think is more important in life, but perhaps if we are honest, we fail to satisfy our hopes to achieve these purposes in life. The rest of this lesson explores how the Bible has a solution to achieving the deeper purposes in life. According to the Bible, the purpose of life can be summarised like this:
?? God's community, living in
?? God's place, following out
? God's loving moral way"
3,1,5,The Bible: The Start - A Garden,"The Bible story starts in a garden. God's purposes, mentioned on the previous page, can be seen in the following ways:
??:?? Adam and Eve
??:?? Garden of Eden
?: ?????? Look after the animals & plants"
3,1,6,The Bible: The End - A Renewed World,"In the next part of the lesson, we will explore the Old Testament, which is the first half of the BIble. But to help you navigate where the story is heading, here is a summary picture of the end of the Bible. The end of the Bible is the goal of all of life. It can be summarise with the following ways:
??:??????????? People from all nations
??:?? A whole new universe
?:??  Enjoy God, with each other in God's creation."
3,2,1,??????The Garden,"At the start of the Bible story:
-???? God made everything, everyone
-???????? Enjoy food, animals, human relationship
-?????? but don't eat ""moral knowledge fruit"""
3,2,2,?? The middle finger - Sin,"But things get bad, quickly:
- ?????? Humanity rejected God's wise moral way and trusted a deceptive snake…"
3,2,3,??Kicked out,"God is a good God and a good God hates evil. So justice requires just punishment:
-??? Humanity are removed from God's presence 
-????????? God's blessings fractured
-?? Humanity punished with death 
-????God's rescue plan: defeat sin - a human who won't sin, but crush the deceptive snake."
3,2,4,????Our Solution - DIY,"Our Solution: through human strength, we can overcome problems and claim victory for ourselves.
- ?? In the Bible,  humanity demonstrates this common way of solving the problems in the world, by building a tower to heaven.
? But it won't work!
??Sin is the problem, not the solution!
- Sin is the attitude of self-centred rejection of God and his instructions.
- Sin is the attitude of believing I can decide for myself what's best, even though we are just creatures and God is the all knowing creator. 
????? Sin caused suffering/death
If sin was the CAUSE of breakdown, suffering and death in the world.
???????? Sin NOT the solution
Sin will NOT be the way to find a SOLUTION to the mess of the world."
3,2,5,??God's Solution,"???????????
Instead, God was the one who created us.
God is the one who has determined the best way to do life. 
So God will be the one who determines the way back to the way he wants us to live
??God has a rescue plan to make
??God's community live in
??God's place, living
?God's loving moral way."
